# Ch1	Ch2	Ch3	Ch4
1.144	1.566	2.914	1.771
1.139	1.637	2.926	1.728
1.069	1.629	3.038	1.755
1.098	1.552	2.906	1.715
1.169	1.565	2.913	1.781
1.123	1.635	3.080	1.728
1.095	1.572	3.070	1.706
1.164	1.552	2.920	1.758
1.096	1.639	3.003	1.703
1.061	1.630	3.060	1.753
1.114	1.530	2.915	1.771
1.165	1.649	3.030	1.724
1.042	1.597	3.091	1.729
1.101	1.533	2.913	1.731
1.146	1.565	2.922	1.727
1.130	1.642	3.038	1.695
1.069	1.575	2.976	1.807
1.140	1.534	2.893	1.726
1.120	1.639	3.030	1.710
1.078	1.568	3.054	1.745
1.163	1.521	2.913	1.758
1.165	1.628	2.978	1.733
1.062	1.614	3.080	1.727
1.120	1.554	2.881	1.771
1.152	1.591	2.802	1.775
1.111	1.645	3.040	1.716
1.074	1.552	2.950	1.757
1.136	1.542	2.920	1.764
1.076	1.639	3.018	1.707
1.065	1.496	3.094	1.706
1.132	1.543	2.893	1.759
1.172	1.625	2.915	1.781
1.111	1.614	3.081	1.741
1.107	1.533	2.906	1.778
1.140	1.571	2.899	1.751
1.104	1.636	3.047	1.691
1.095	1.572	2.976	1.754
1.178	1.562	2.902	1.727
1.085	1.637	3.042	1.758
1.058	1.581	3.086	1.753
1.154	1.529	2.913	1.732
1.107	1.618	2.964	1.716
1.065	1.575	3.080	1.732
1.134	1.542	2.906	1.779
1.162	1.577	2.898	1.701
1.098	1.694	3.067	1.727
1.045	1.586	3.073	1.766
1.165	1.539	2.920	1.753
1.131	1.636	3.031	1.700
1.082	1.591	3.096	1.745
1.100	1.479	2.893	1.749
1.120	1.617	2.892	1.721
1.062	1.620	3.067	1.702
1.114	1.558	2.906	1.781
1.152	1.583	2.910	1.772
1.118	1.636	3.081	1.701
1.060	1.555	3.047	1.714
1.160	1.542	2.897	1.724
1.102	1.629	2.988	1.720
1.075	1.579	3.002	1.753
1.131	1.521	2.881	1.771
1.094	1.653	2.964	1.721
1.070	1.623	3.097	1.742
1.140	1.560	2.900	1.715
1.165	1.611	2.918	1.727
1.083	1.681	3.054	1.707
1.098	1.542	2.935	1.759
1.191	1.562	2.913	1.795
1.105	1.627	3.044	1.703
1.056	1.581	3.109	1.757
1.124	1.521	2.900	1.803
1.107	1.627	2.932	1.710
1.098	1.614	3.088	1.727
1.140	1.539	2.900	1.771
1.172	1.584	2.912	1.743
1.091	1.642	3.061	1.742
1.072	1.583	3.073	1.791
1.154	1.565	2.914	1.737
1.121	1.636	3.047	1.707
1.085	1.586	3.080	1.716
1.111	1.547	2.925	1.784
1.120	1.639	2.900	1.771
1.077	1.623	3.074	1.753
