# Ch1	Ch2	Ch3	Ch4
1.343	0.782	2.217	2.158
1.302	0.856	2.335	2.125
1.249	0.819	2.321	2.118
1.314	0.758	2.210	2.178
1.343	0.834	2.255	2.133
1.256	0.846	2.349	2.114
1.264	0.772	2.210	2.151
1.366	0.754	2.224	2.120
1.285	0.854	2.316	2.113
1.240	0.801	2.352	2.126
1.314	0.754	2.210	2.159
1.326	0.805	2.242	2.129
1.299	0.849	2.319	2.117
1.250	0.777	2.371	2.157
1.357	0.761	2.219	2.139
1.295	0.853	2.322	2.119
1.235	0.814	2.372	2.168
1.314	0.768	2.236	2.174
1.340	0.828	2.230	2.168
1.294	0.856	2.318	2.120
1.297	0.791	2.319	2.158
1.368	0.769	2.214	2.151
1.295	0.841	2.345	2.106
1.242	0.795	2.333	2.140
1.304	0.754	2.224	2.177
1.346	0.825	2.242	2.155
1.299	0.874	2.318	2.120
1.265	0.782	2.351	2.139
1.347	0.808	2.219	2.149
1.284	0.856	2.338	2.118
1.235	0.795	2.353	2.148
1.314	0.754	2.226	2.165
1.368	0.818	2.263	2.119
1.304	0.855	2.329	2.153
1.307	0.806	2.351	2.130
1.373	0.788	2.203	2.146
1.285	0.856	2.222	2.177
1.256	0.812	2.371	2.140
1.314	0.750	2.217	2.171
1.333	0.785	2.242	2.129
1.291	0.856	2.335	2.126
1.252	0.785	2.379	2.157
1.306	0.791	2.226	2.133
1.276	0.841	2.345	2.138
1.274	0.818	2.368	2.126
1.314	0.783	2.217	2.165
1.326	0.841	2.282	2.126
1.302	0.859	2.331	2.120
1.281	0.793	2.372	2.160
1.366	0.785	2.230	2.177
1.284	0.853	2.345	2.171
1.239	0.812	2.358	2.165
1.334	0.759	2.319	2.126
1.295	0.798	2.242	2.140
1.302	0.856	2.336	2.126
1.307	0.780	2.358	2.151
1.359	0.754	2.222	2.136
1.287	0.859	2.263	2.125
1.242	0.818	2.365	2.145
1.310	0.765	2.211	2.114
1.366	0.834	2.202	2.126
1.301	0.859	2.203	2.149
1.253	0.774	2.332	2.162
1.366	0.773	2.223	2.151
1.301	0.856	2.335	2.125
1.248	0.815	2.333	2.132
1.314	0.757	2.210	2.192
1.320	0.816	2.204	2.133
1.268	0.856	2.325	2.133
1.289	0.788	2.280	2.151
1.327	0.775	2.219	2.149
1.282	0.859	2.282	2.123
1.246	0.805	2.372	2.145
1.307	0.742	2.223	2.171
1.340	0.831	2.201	2.140
1.302	0.854	2.345	2.122
1.285	0.788	2.358	2.167
1.355	0.775	2.377	2.165
1.288	0.838	2.333	2.113
1.248	0.825	2.336	2.145
1.306	0.773	2.211	2.155
1.368	0.807	2.189	2.133
1.278	0.842	2.333	2.120
1.256	0.806	2.379	2.151
1.308	0.785	2.221	2.142
1.313	0.832	2.320	2.119
1.242	0.812	2.296	2.139
1.313	0.752	2.210	2.158
1.359	0.798	2.210	2.139
1.286	0.861	2.345	2.131
1.252	0.812	2.332	2.165
1.318	0.783	2.217	2.136
1.289	0.841	2.307	2.123
1.249	0.820	2.358	2.126
1.307	0.775	2.213	2.172
1.339	0.797	2.203	2.134
1.294	0.862	2.338	2.118
1.250	0.799	2.374	2.145
1.375	0.744	2.221	2.171
1.282	0.837	2.322	2.125
1.246	0.831	2.329	2.165
1.320	0.740	2.210	2.179
1.354	0.791	2.190	2.159
1.297	0.869	2.338	2.117
1.242	0.791	2.374	2.151
1.338	0.734	2.203	2.168
